"longitude","latitude","landtype","price19","price18","price09","price99","price89","station"
136.54112,35.15128,"RE",22800,22900,26700,NULL,NULL,"麻生田、2300"
136.51900,35.15349,"RE",29400,29500,33800,NULL,NULL,"阿下喜、500"
136.51900,35.15349,"BS",42900,43100,50500,NULL,NULL,"阿下喜、1100"
136.54744,35.12602,"RE",14100,14300,16500,NULL,NULL,"麻生田、2000"
136.55087,35.11076,"RE",29200,29500,33700,NULL,NULL,"楚原、800"
136.55505,35.10828,"RE",NULL,NULL,37500,NULL,NULL,"楚原、600"
136.56348,35.11033,"RE",40000,40100,42000,NULL,NULL,"楚原、500"
136.55629,35.12338,"RE",NULL,NULL,34300,NULL,NULL,"楚原、400"
136.51872,35.10761,"RE",19400,19500,22800,NULL,NULL,"三里、2200"
136.54245,35.08509,"RE",24100,24400,28400,NULL,NULL,"大安、1300"
136.54315,35.10911,"BS",41100,41400,48800,NULL,NULL,"三里、750"
136.44513,35.21372,"IN",NULL,NULL,6430,NULL,NULL,"西藤原、5000"
136.51187,34.59668,"RE",NULL,NULL,NULL,26000,NULL,"松ケ崎、500"
136.51187,34.59668,"BS",NULL,NULL,NULL,129000,NULL,"松ケ崎、500"
136.51973,34.62479,"RE",NULL,NULL,NULL,34700,NULL,"六軒、2400"
136.47292,34.63029,"RE",NULL,NULL,NULL,NULL,36600,"伊勢中川、1300"
136.47292,34.63029,"RE",NULL,NULL,NULL,39500,33700,"伊勢中川、1000"
136.46872,34.64048,"AD",NULL,NULL,NULL,19000,NULL,"伊勢中川、1200"
136.47937,34.64181,"RE",NULL,NULL,NULL,60700,NULL,"近鉄伊勢中川、800"
136.69151,35.01575,"IN",23400,23400,27200,38800,NULL,"川越富洲原、3800"
136.67763,35.02887,"RE",52500,52400,55700,67200,NULL,"伊勢朝日、1500"
136.68105,35.03195,"IN",NULL,NULL,NULL,55000,NULL,"伊勢朝日、2000"
136.67110,35.02414,"RE",NULL,NULL,NULL,47000,36500,"富洲原、2000"
136.67110,35.02414,"RE",44000,44000,48200,NULL,NULL,"川越富洲原、2000"
136.66119,35.02095,"BS",80600,80900,88600,NULL,NULL,"川越富洲原、450"
136.66119,35.02095,"BS",NULL,NULL,NULL,86300,79300,"富洲原、600"
136.66119,35.02095,"RE",NULL,NULL,NULL,56600,41400,"富洲原、500"
136.67551,35.01521,"RE",NULL,NULL,NULL,59700,39900,"富洲原、1000"
136.67551,35.01521,"RE",45500,45500,49300,NULL,NULL,"川越富洲原、1500"
136.64578,35.03544,"RE",47600,47600,52100,NULL,NULL,"朝日、1100"
136.64578,35.03544,"RE",NULL,NULL,NULL,62900,43700,"朝日、1100"
136.66815,35.03481,"RE",52200,52200,56200,68900,NULL,"朝日、950"
136.65715,35.03394,"RE",NULL,NULL,NULL,57800,NULL,"朝日、450"
136.65715,35.03394,"RE",43800,44000,48600,NULL,NULL,"朝日、450"
136.65715,35.03394,"RE",NULL,NULL,NULL,NULL,33000,"朝日、250"
136.65715,35.03394,"RE",NULL,NULL,NULL,73000,NULL,"朝日、900"
136.67683,35.03214,"RE",NULL,NULL,NULL,91800,NULL,"伊勢朝日、150"
136.67522,35.03909,"RE",NULL,NULL,NULL,66400,NULL,"伊勢朝日、1200"
136.67683,35.03214,"RE",NULL,NULL,NULL,NULL,45200,"伊勢朝日、200"
136.66008,35.03908,"RE",60500,60200,NULL,NULL,NULL,"朝日、1100"
136.63229,34.91387,"RE",NULL,NULL,NULL,62500,41300,"北楠、350"
136.63229,34.91387,"RE",NULL,NULL,NULL,58000,NULL,"北楠、750"
136.63795,34.90641,"RE",NULL,NULL,NULL,66000,45000,"楠、500"
136.63795,34.90641,"RE",NULL,NULL,NULL,61800,39900,"楠、900"
136.63795,34.90641,"RE",NULL,NULL,NULL,61300,NULL,"楠、660"
136.61696,34.91145,"RE",NULL,NULL,NULL,71000,NULL,"北楠、900"
136.46567,35.03893,"AD",NULL,NULL,NULL,NULL,11900,"湯の山温泉、3600"
136.53067,35.02896,"AD",NULL,NULL,NULL,NULL,16100,"菰野、3300"
136.53029,35.00520,"BS",66400,66400,74800,NULL,NULL,"菰野、1200"
136.52290,35.03319,"RE",23400,23700,27300,39500,NULL,"菰野、3900"
136.51666,35.02816,"RE",33400,33500,37200,NULL,NULL,"中菰野、1800"
136.51666,35.02816,"RE",NULL,NULL,NULL,53900,NULL,"中菰野、2000"
136.51666,35.02816,"RE",NULL,NULL,NULL,NULL,36800,"菰野、1700"
136.52364,35.01245,"RE",43300,43300,49800,75200,NULL,"菰野、700"
136.46936,35.00877,"RE",NULL,NULL,NULL,65400,NULL,"大羽根園、450"
136.46936,35.00877,"RE",NULL,NULL,NULL,58600,NULL,"中菰野、1000"
136.46936,35.00877,"RE",37400,37400,41900,NULL,NULL,"中菰野、1000"
136.46936,35.00877,"BS",NULL,NULL,NULL,84400,74800,"菰野、350"
136.46936,35.00877,"FR",NULL,NULL,NULL,NULL,3200,"湯の山温泉、700"
136.46936,35.00877,"RE",41700,41700,45700,57400,45700,"中菰野、250"
136.49132,35.01723,"RE",39700,39600,43600,NULL,NULL,"大羽根園、700"
136.49461,35.01634,"RE",NULL,NULL,NULL,71200,49000,"大羽根園、450"
136.12627,34.76059,"RE",NULL,NULL,NULL,59000,46400,"西大手、1000"
136.12767,34.76433,"IN",NULL,NULL,NULL,33500,NULL,"伊賀上野、1000"
136.12767,34.76433,"RE",NULL,NULL,NULL,41000,32100,"伊賀上野、900"
136.12050,34.76627,"RE",NULL,NULL,NULL,NULL,30000,"桑町、1700"
136.12050,34.76627,"RE",NULL,NULL,NULL,67900,NULL,"桑町、2200"
136.13188,34.76698,"RE",NULL,NULL,NULL,91000,74400,"上野市、450"
136.13196,34.76770,"BS",NULL,NULL,NULL,223000,NULL,"上野市、200"
136.13023,34.76859,"RE",NULL,NULL,NULL,36000,NULL,"佐那具、700"
136.13023,34.76859,"RE",NULL,NULL,NULL,28000,NULL,"桑町、1800"
136.13023,34.76859,"SI",NULL,NULL,NULL,64000,NULL,"桑町、1900"
136.13023,34.76859,"RE",NULL,NULL,NULL,NULL,10700,"美旗、7000"
136.12857,34.76525,"RE",NULL,NULL,NULL,65000,NULL,"西大手、800"
136.12857,34.76525,"RE",NULL,NULL,NULL,43000,NULL,"西大手、700"
136.12857,34.76525,"SI",NULL,NULL,NULL,NULL,57100,"上野市、1400"
136.12857,34.76525,"IN",NULL,NULL,NULL,31900,NULL,"西大手、1000"
136.13054,34.77305,"SI",NULL,NULL,NULL,74900,NULL,"広小路、700"
136.13385,34.76302,"RE",NULL,NULL,NULL,81000,NULL,"茅町、300"
136.13264,34.76394,"BS",NULL,NULL,NULL,185000,NULL,"上野市、530"
136.13040,34.76593,"BS",NULL,NULL,NULL,164000,219000,"上野市、200"
136.13148,34.76628,"RE",NULL,NULL,NULL,28500,NULL,"新居、260"
136.13542,34.75646,"RE",NULL,NULL,NULL,73000,NULL,"桑町、320"
136.13023,34.76859,"AD",NULL,NULL,NULL,15000,NULL,"猪田道、1600"
136.13023,34.76859,"RE",NULL,NULL,NULL,74500,54100,"茅町、1500"
136.12286,34.76775,"IN",NULL,NULL,NULL,NULL,26500,"茅町、2200"
136.12286,34.76775,"SI",NULL,NULL,NULL,42500,NULL,"桑町、1800"
136.12286,34.76775,"RE",NULL,NULL,NULL,NULL,13400,"伊賀上野、2400"
136.12286,34.76775,"AD",NULL,NULL,NULL,16000,NULL,"佐那具、1600"
136.12517,34.76572,"BS",NULL,NULL,NULL,87800,NULL,"西大手、360"
136.13667,34.76726,"BS",NULL,NULL,NULL,89000,107000,"広小路、近接"
136.13023,34.76859,"RE",NULL,NULL,NULL,NULL,13700,"西大手、2400"
136.47310,34.67667,"BS",NULL,NULL,NULL,170000,168000,"久居、450"
136.46944,34.67484,"RE",NULL,NULL,NULL,60200,NULL,"桃園、700"
136.46944,34.67484,"AD",NULL,NULL,NULL,NULL,18100,"久居、3600"
